País o territorio,  Máx_publicadores  ,  Bautizados  ,  Prom_precursores  ,  Congregaciones  ,  Asistencia_conmemoracion  ,Año
Luxemburgo,2203,,235,31,4666,2021
Macao,415,19,126,6,1138,2021
Macedonia del Norte,1277,10,184,24,3888,2021
Madagascar,33796,901,6589,852,137572,2021
Madeira,1183,7,134,19,2164,2021
Malasia,5640,114,1576,123,14430,2021
Malaui,97938,2667,7187,1816,281176,2021
Mali,382,12,60,7,994,2021
Malta,824,10,122,11,1430,2021
"Malvinas, Islas",17,,3,1,17,2021
"Marshall, Islas",131,6,26,4,663,2021
Martinica,5024,112,629,57,12145,2021
Mauricio,2094,70,261,27,6710,2021
Mayotte,168,,54,5,413,2021
México,870967,15780,138587,12938,2442109,2021
Moldavia,18557,376,2289,202,42228,2021
Mongolia,442,5,192,8,1873,2021
Montenegro,333,4,84,7,908,2021
Montserrat,37,,16,1,135,2021
Mozambique,89946,5179,6729,1313,269122,2021
Myanmar,5102,183,906,101,11881,2021
Namibia,2663,93,324,47,8457,2021
Nauru,18,,2,1,109,2021
Nepal,2809,157,824,43,9378,2021
Nicaragua,29546,610,4639,469,86801,2021
Nieves,76,,5,1,266,2021
Níger,315,8,44,9,731,2021
Nigeria,380713,6442,39621,6577,698762,2021
Niue,21,,2,1,50,2021
Noruega,12001,111,1280,166,19196,2021
Nueva Caledonia,2651,80,298,34,8112,2021
Nueva Zelanda,14583,237,1512,171,26983,2021
Países Bajos,29215,374,2332,353,51716,2021
Pakistán,1098,7,63,16,4357,2021
Palaos,81,2,17,2,241,2021
"Palestinos, Territorios",62,,10,2,186,2021
Panamá,18650,483,3150,324,63639,2021
Papúa Nueva Guinea,5876,193,705,93,34044,2021
Paraguay,11298,328,2137,215,31583,2021
Perú,133081,3565,29596,1589,497725,2021
Polonia,113723,1186,8789,1272,201271,2021
Ponapé,56,2,19,1,197,2021
Portugal,50921,810,5379,654,102467,2021
Puerto Rico,23610,290,3768,232,49656,2021
Reunión,3452,67,500,42,7390,2021
Rodríguez,69,3,11,1,221,2021
Rota,6,,1,,1,2021
Ruanda,31279,51,5257,560,82333,2021
Rumania,39785,704,4437,532,100121,2021
Saba,14,,3,,38,2021
Saipán,234,9,41,3,706,2021
"Salomón, Islas",1719,51,197,50,10645,2021
Samoa,544,17,95,12,2611,2021
Samoa Norteamericana,155,7,32,3,668,2021
San Bartolomé,39,,6,1,111,2021
San Cristóbal,235,1,29,3,829,2021
San Eustaquio,33,,5,1,146,2021
San Marino,195,,44,2,419,2021
San Martín (terr. francés),294,10,27,5,1080,2021
San Martín (terr. holandés),333,19,42,4,1113,2021
San Pedro y Miquelón,15,,5,1,18,2021
San Vicente y las Granadinas,312,,43,8,1112,2021
Santa Elena,115,,,3,218,2021
Santa Lucía,793,5,117,11,2753,2021
Santo Tomé y Príncipe,936,38,140,14,5794,2021
Senegal,1444,12,185,33,3837,2021
Serbia,3824,64,669,62,9181,2021
Seychelles,371,4,38,5,1349,2021
Sierra Leona,2618,52,312,40,8140,2021
Sri Lanka,7121,217,926,103,20495,2021
Sudáfrica,100112,1532,13216,2071,247542,2021
Sudán,832,28,126,14,1771,2021
Sudán del Sur,1597,75,216,33,5563,2021
Suecia,22634,243,2628,280,36110,2021
Suiza,19530,198,1653,263,34607,2021
Surinam,3354,93,349,56,11003,2021
Tahití,3240,48,453,45,11588,2021
Tailandia,5249,146,1906,140,10607,2021
Taiwán,11367,274,3875,181,22149,2021
Tanzania,19522,539,2133,440,52869,2021
Timor Oriental,382,17,98,5,1243,2021
Tinián,11,,1,1,28,2021
Togo,21915,622,2481,342,57101,2021
Tonga,254,8,41,2,595,2021
Trinidad y Tobago,10588,193,1353,132,31739,2021
"Turcas y Caicos, Islas",352,7,50,7,1150,2021
Turquía,5141,159,1734,68,9309,2021
Tuvalu,93,,3,1,305,2021
Ucrania,129143,1878,18181,1489,264176,2021
Uganda,9211,397,1182,163,31610,2021
Uruguay,12160,204,1583,149,29798,2021
Vanuatu,838,23,121,17,4114,2021
Venezuela,134894,3494,30987,1734,412096,2021
"Vírgenes Brit., Islas",241,,31,4,923,2021
"Vírgenes de EE. UU., Islas",579,12,109,8,1539,2021
"Wallis y Futuna, Islas",74,1,6,1,184,2021
Yap,33,,8,1,142,2021
Zambia,191982,5421,17717,3519,779219,2021
Zimbabue,43059,642,7182,1094,126234,2021
