País o territorio,  Máx_publicadores  ,  Bautizados  ,  Prom_precursores  ,  Congregaciones  ,  Asistencia_conmemoracion  ,Año
Nepal,2913,179,896,58,7477,2024
Nicaragua,28885,873,5460,440,79346,2024
Nieves,78,,8,1,265,2024
Níger,378,21,52,9,897,2024
Nigeria,406732,18930,47987,6145,857080,2024
Niue,20,,4,1,68,2024
Noruega,12047,166,1565,161,17986,2024
Nueva Caledonia,2745,108,366,34,7833,2024
Nueva Zelanda,14732,411,2009,168,27088,2024
Países Bajos,29618,456,3190,340,48810,2024
Pakistán,1265,59,120,16,4389,2024
Palaos,77,1,26,2,182,2024
"Palestinos, Territorios",80,1,15,2,201,2024
Panamá,18867,609,3972,302,53614,2024
Papúa Nueva Guinea,5130,176,997,170,42591,2024
Paraguay,11532,344,2613,183,24613,2024
Perú,138118,5453,36455,1672,380481,2024
Polonia,114894,1465,11663,1268,181252,2024
Ponapé,57,1,16,1,226,2024
Portugal,54601,1046,7239,649,97193,2024
Puerto Rico,23,394,4381,226,43407,2024
Reunión,3602,85,621,41,6837,2024
Rodríguez,69,1,8,1,174,2024
Rota,4,,1,1,2,2024
Ruanda,37013,2656,6676,633,112816,2024
Rumania,40216,959,6059,527,83695,2024
Saba,20,,4,1,58,2024
Saipán,236,17,60,3,546,2024
"Salomón, Islas",1904,104,240,46,10678,2024
Samoa,600,41,138,12,2587,2024
Samoa Americana,152,5,31,3,545,2024
San Bartolomé,38,,5,1,96,2024
San Cristóbal,246,3,50,3,739,2024
San Eustaquio,37,,7,1,85,2024
San Marino,212,,42,2,329,2024
San Martín (terr. francés),324,3,36,5,1067,2024
San Martín (terr. holandés),308,11,45,4,956,2024
San Pedro y Miquelón,18,,4,1,31,2024
San Vicente y las Granadinas,321,6,48,8,906,2024
Santa Elena,119,,,3,268,2024
Santa Lucía,800,13,123,11,2205,2024
Santo Tomé y Príncipe,897,62,180,14,3459,2024
Senegal,1606,51,243,28,3264,2024
Serbia,3759,104,762,60,7134,2024
Seychelles,373,4,42,5,1044,2024
Sierra Leona,2659,189,355,43,9081,2024
Sri Lanka,7013,251,1257,95,15745,2024
Sudáfrica,105359,4798,15784,1929,270310,2024
Sudán,367,22,29,3,42,2024
Sudán del Sur,2319,195,332,35,8313,2024
Suecia,22465,311,3062,274,34215,2024
Suiza,20367,356,2380,251,33366,2024
Surinam,3410,130,422,57,9816,2024
Tahití,3305,90,563,46,10242,2024
Tailandia,5526,164,2121,149,11118,2024
Taiwán,11761,310,4364,178,20475,2024
Tanzania,22347,1458,2835,418,66944,2024
Timor Oriental,396,25,113,5,1048,2024
Tinián,10,,2,1,26,2024
Togo,24471,1248,3223,392,70943,2024
Tonga,256,11,47,3,594,2024
Trinidad y Tobago,10547,296,1668,127,26029,2024
"Turcas y Caicos, Islas",352,3,65,6,914,2024
Turquía,5318,196,1706,65,8239,2024
Tuvalu,103,,4,1,222,2024
Ucrania,102972,1698,15655,1164,173551,2024
Uganda,10261,698,1467,183,36204,2024
Uruguay,11995,294,2025,150,22441,2024
Vanuatu,858,43,109,13,4046,2024
Venezuela,138146,4285,40484,1716,413102,2024
"Vírgenes Brit., Islas",231,,32,4,734,2024
"Vírgenes de EE. UU., Islas",517,10,109,8,1264,2024
"Wallis y Futuna, Islas",84,,11,2,277,2024
Yap,32,,10,1,161,2024
Zambia,258013,18073,23330,3654,1085831,2024
Zimbabue,52895,3208,8636,974,131488,2024
