País o territorio,  Máx_publicadores  ,  Bautizados  ,  Prom_precursores  ,  Congregaciones  ,  Asistencia_conmemoracion  ,Año
"Congo, Rep. Dem. del",243146 ,17800 ,21347 ,3880 ,1264290 ,2019
Cook (islas),206 ,8 ,30 ,3 ,549 ,2019
Corea del Sur,102456 ,1800 ,45242 ,1266 ,136891 ,2019
Costa de Marfil,12194 ,531 ,1645 ,325 ,75755 ,2019
Costa Rica,32125 ,1181 ,3807 ,446 ,71472 ,2019
Croacia,4965 ,64 ,434 ,58 ,7843 ,2019
Cuba,94873 ,2923 ,9532 ,1457 ,223403 ,2019
Curazao,2060 ,75 ,226 ,26 ,5605 ,2019
Dinamarca,14622 ,247 ,1143 ,173 ,20756 ,2019
Dominica,442 ,11 ,57 ,10 ,1561 ,2019
"Dominicana, Rep.",38754 ,1402 ,7171 ,572 ,116498 ,2019
Ecuador,100038 ,4175 ,18462 ,1154 ,290701 ,2019
El Salvador,40392 ,1053 ,4898 ,701 ,86133 ,2019
Eslovaquia,11147 ,188 ,899 ,132 ,20910 ,2019
Eslovenia,1825 ,26 ,250 ,30 ,2857 ,2019
España,116118 ,2441 ,17464 ,1485 ,192303 ,2019
Estados Unidos,1237054 ,28611 ,182882 ,12594 ,2416752 ,2019
Estonia,4012 ,63 ,522 ,57 ,6199 ,2019
Esuatini,3354 ,49 ,334 ,80 ,9248 ,2019
Etiopía,10760 ,418 ,2336 ,219 ,25543 ,2019
Feroe (islas),131 ,1 ,31 ,4 ,235 ,2019
Filipinas,222911 ,10264 ,48212 ,3472 ,612911 ,2019
Finlandia,18260 ,281 ,2116 ,285 ,25064 ,2019
Fiyi,3151 ,131 ,518 ,80 ,11186 ,2019
Francia,131078 ,3240 ,15615 ,1610 ,222855 ,2019
Gabón,4869 ,204 ,602 ,57 ,13288 ,2019
Gambia,238 ,10 ,36 ,5 ,637 ,2019
Georgia,18021 ,489 ,3242 ,215 ,31451 ,2019
Ghana,144570 ,6257 ,15539 ,2167 ,381212 ,2019
Gibraltar,137 ,1 ,17 ,2 ,162 ,2019
Gran Bretaña,137029 ,2409 ,14706 ,1618 ,222033 ,2019
Granada,550 ,7 ,69 ,10 ,1487 ,2019
Grecia,28171 ,717 ,4071 ,358 ,45637 ,2019
Groenlandia,153 ,,31 ,5 ,315 ,2019
Guadalupe,8376 ,208 ,716 ,121 ,19385 ,2019
Guam,767 ,19 ,172 ,10 ,1900 ,2019
Guatemala,40525 ,1406 ,6603 ,873 ,98161 ,2019
Guayana Francesa,2842 ,181 ,429 ,47 ,11318 ,2019
Guinea,1031 ,69 ,125 ,23 ,4243 ,2019
Guinea-Bissau,191 ,15 ,51 ,3 ,699 ,2019
Guinea Ecuatorial,2586 ,205 ,311 ,25 ,8989 ,2019
Guyana,3293 ,139 ,493 ,50 ,13942 ,2019
Haití,20433 ,981 ,2662 ,276 ,87267 ,2019
Honduras,23016 ,819 ,4091 ,439 ,63652 ,2019
Hong Kong,5617 ,441 ,1180 ,64 ,9349 ,2019
Hungría,21256 ,408 ,1832 ,293 ,37992 ,2019
India,49743 ,2512 ,7797 ,692 ,137439 ,2019
Indonesia,29107 ,1046 ,4450 ,514 ,58878 ,2019
Irlanda,7059 ,134 ,1114 ,121 ,11818 ,2019
Islandia,390 ,2 ,56 ,7 ,741 ,2019
Israel,1879 ,58 ,329 ,32 ,3166 ,2019
Italia,251303 ,4278 ,37512 ,2892 ,414595 ,2019
Jamaica,11334 ,334 ,1408 ,174 ,34703 ,2019
Japón,212651 ,2118 ,66100 ,2991 ,291206 ,2019
Kazajistán,17485 ,479 ,3959 ,262 ,30516 ,2019
Kenia,29935 ,1445 ,3648 ,647 ,78322 ,2019
Kirguistán,5300 ,192 ,1233 ,85 ,10489 ,2019
Kiribati,134 ,2 ,32 ,3 ,438 ,2019
Kosovo,267 ,6 ,120 ,8 ,594 ,2019
Kosrae,20 ,,5 ,1 ,96 ,2019
Lesoto,4365 ,257 ,545 ,93 ,12087 ,2019
Letonia,2188 ,46 ,324 ,33 ,3367 ,2019
Liberia,7851 ,411 ,722 ,145 ,52616 ,2019
Liechtenstein,91 ,2 ,4 ,1 ,159 ,2019
Lituania,2977 ,55 ,446 ,46 ,4682 ,2019
Luxemburgo,2156 ,27 ,197 ,31 ,3802 ,2019
Macao,358 ,4 ,102 ,4 ,810 ,2019
Macedonia del Norte,1287 ,27 ,168 ,23 ,2752 ,2019
Madagascar,37730 ,3591 ,6385 ,832 ,146622 ,2019
Madeira,1157 ,32 ,129 ,20 ,1868 ,2019
Malasia,5521 ,204 ,1579 ,120 ,13492 ,2019
Malaui,102773 ,6103 ,7374 ,1636 ,342426 ,2019
Mali,361 ,26 ,58 ,7 ,1345 ,2019
Malta,769 ,12 ,96 ,10 ,1344 ,2019
Malvinas (islas),15 ,,1 ,1 ,31 ,2019
Marshall (islas),158 ,3 ,24 ,4 ,771 ,2019
Martinica,4780 ,118 ,594 ,61 ,10317 ,2019
Mauricio,1910 ,68 ,208 ,27 ,4322 ,2019
Mayotte,188 ,8 ,54 ,3 ,427 ,2019
México,874491 ,30403 ,138474 ,13074 ,2258524 ,2019
Moldavia,18808 ,436 ,2199 ,208 ,32872 ,2019
Mongolia,471 ,13 ,217 ,9 ,1433 ,2019
Montenegro,279 ,7 ,64 ,5 ,536 ,2019
Montserrat,39 ,,19 ,1 ,216 ,2019
Mozambique,67758 ,7162 ,6114 ,1315 ,334110 ,2019
Myanmar,4821 ,206 ,831 ,91 ,10437 ,2019
Namibia,2647 ,133 ,296 ,46 ,8629 ,2019
Nauru,21 ,2 ,2 ,1 ,102 ,2019
Nepal,2659 ,136 ,890 ,42 ,6995 ,2019
Nicaragua,29567 ,1598 ,4411 ,468 ,87706 ,2019
Nieves,74 ,,3 ,1 ,223 ,2019
Níger,322 ,3 ,42 ,9 ,924 ,2019
Nigeria,402541 ,14239 ,41038 ,6566 ,835850 ,2019
Niue,22 ,,2 ,1 ,53 ,2019
Norfolk (isla),7 ,,1 ,1 ,23 ,2019
Noruega,11809 ,204 ,1189 ,167 ,17536 ,2019
Nueva Caledonia,2536 ,124 ,276 ,33 ,7050 ,2019
Nueva Zelanda,14201 ,294 ,1391 ,183 ,26856 ,2019
Países Bajos,29525 ,628 ,2116 ,352 ,49159 ,2019
Pakistán,1122 ,50 ,82 ,20 ,4259 ,2019
Palaos,83 ,2 ,12 ,2 ,239 ,2019
"Palestinos, Territorios",63 ,,9 ,2 ,130 ,2019
Panamá,18068 ,621 ,2988 ,323 ,54878 ,2019
Papúa Nueva Guinea,5281 ,160 ,617 ,118 ,43275 ,2019
Paraguay,10988 ,439 ,1977 ,234 ,25805 ,2019
Perú,132559 ,4855 ,28724 ,1562 ,398335 ,2019
Polonia,115229 ,1560 ,8435 ,1277 ,177379 ,2019
Ponapé,55 ,,15 ,1 ,170 ,2019
Portugal,49692 ,1117 ,4864 ,652 ,88099 ,2019
Puerto Rico,23656 ,477 ,3804 ,237 ,45314 ,2019
Reunión,3340 ,146 ,453 ,41 ,6557 ,2019
Rodríguez,62 ,4 ,16 ,1 ,202 ,2019
Rota,9 ,,3 ,1 ,21 ,2019
Ruanda,30723 ,2046 ,5298 ,553 ,95239 ,2019
Rumania,39389 ,775 ,4167 ,540 ,74476 ,2019
Saba,13 ,,3 ,,74 ,2019
Saipán,230 ,14 ,40 ,3 ,509 ,2019
Salomón (islas),2053 ,115 ,219 ,51 ,10203 ,2019
Samoa,557 ,26 ,109 ,12 ,2492 ,2019
Samoa Norteamericana,180 ,4 ,29 ,3 ,595 ,2019
San Bartolomé,35 ,,5 ,1 ,84 ,2019
San Cristóbal,222 ,5 ,30 ,3 ,695 ,2019
San Eustaquio,28 ,,3 ,1 ,124 ,2019
San Marino,201 ,,47 ,2 ,323 ,2019
San Martín (terr. francés),299 ,5 ,23 ,5 ,1072 ,2019
San Martín (terr. holandés),333 ,17 ,40 ,6 ,1158 ,2019
San Pedro y Miquelón,10 ,,6 ,1 ,14 ,2019
San Vicente y las Granadinas,322 ,4 ,41 ,8 ,1080 ,2019
Santa Elena,114 ,2 ,,3 ,253 ,2019
Santa Lucía,819 ,19 ,117 ,11 ,2091 ,2019
Santo Tomé y Príncipe,924 ,69 ,141 ,14 ,3631 ,2019
Senegal,1376 ,48 ,180 ,29 ,2859 ,2019
Serbia,3943 ,95 ,659 ,64 ,7750 ,2019
Seychelles,340 ,8 ,37 ,5 ,979 ,2019
Sierra Leona,2465 ,123 ,316 ,41 ,9272 ,2019
Sri Lanka,6669 ,150 ,813 ,116 ,15409 ,2019
Sudáfrica,104451 ,4473 ,13299 ,2056 ,281511 ,2019
Sudán,662 ,45 ,115 ,14 ,2297 ,2019
Sudán del Sur,1595 ,128 ,192 ,32 ,7187 ,2019
Suecia,22311 ,295 ,2480 ,295 ,34897 ,2019
Suiza,19281 ,251 ,1421 ,270 ,31108 ,2019
Surinam,3149 ,151 ,356 ,58 ,10980 ,2019
Tahití,3273 ,124 ,496 ,46 ,9571 ,2019
Tailandia,5392 ,270 ,2096 ,136 ,10700 ,2019
Taiwán,11284 ,430 ,3862 ,188 ,20794 ,2019
Tanzania,19459 ,1146 ,2075 ,446 ,62398 ,2019
Timor Oriental,392 ,45 ,91 ,5 ,981 ,2019
Tinián,13 ,,1 ,1 ,41 ,2019
Togo,22691 ,1470 ,2353 ,318 ,67573 ,2019
Tonga,211 ,4 ,35 ,2 ,624 ,2019
Trinidad y Tobago,10146 ,346 ,1328 ,131 ,25478 ,2019
Turcas y Caicos (islas),346 ,10 ,48 ,6 ,1141 ,2019
Turquía,4221 ,141 ,1205 ,52 ,7786 ,2019
Tuvalu,93 ,3 ,5 ,1 ,221 ,2019
Ucrania,129310 ,2804 ,17777 ,1520 ,208844 ,2019
Uganda,8652 ,603 ,1164 ,164 ,31284 ,2019
Uruguay,12109 ,367 ,1306 ,151 ,23581 ,2019
Vanuatu,788 ,42 ,97 ,17 ,3065 ,2019
Venezuela,137052 ,7445 ,30110 ,1743 ,470857 ,2019
Vírgenes Brit. (islas),241 ,,35 ,4 ,733 ,2019
Vírgenes de EE. UU. (islas),588 ,13 ,114 ,9 ,2012 ,2019
Wallis y Futuna (islas),63 ,2 ,3 ,1 ,221 ,2019
Yap,54 ,4 ,10 ,1 ,142 ,2019
Zambia,223720 ,16167 ,17531 ,3402 ,979338 ,2019
Zimbabue,50403 ,3258 ,7341 ,1271 ,122790 ,2019
